# 1000-article dogfood polish status — re-architected 2026-07-01 per user
# Schema: article_id	status	domain	source	title	cjk_chars	pass	total	note
# Status: TODO / FETCHED / SEGMENTED / IN_PROGRESS / DONE / BLOCKED
# Article ID: {domain_letter}{seq3} — A=政治政策 B=科技数码 C=财经金融
#                                     D=教育学术 E=医疗健康 F=文化艺术
#                                     G=体育竞技 H=历史人文 I=旅游地理
#                                     J=社会民生
# 100 articles per domain × 10 domains = 1000 total.
# Original 0001-0010 mapped here as DONE.
J001	DONE	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法严厉打击破坏生态环境犯罪	1604	837	837	
J002	DONE	社会民生	http://www.people.com.cn/rss/society.xml	永定河畔，甜蜜升级	4023	2145	2145	
J003	DONE	社会民生	http://www.people.com.cn/rss/society.xml	完善协作机制 推进绿色发展	1009	504	504	
A012	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	学习手记 | “环境就是民生”	922	0	0	duplicate of A002
A013	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	镜观·足迹｜呵护千山万水 擘画永续发展	1471	0	0	duplicate of A001
A014	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	学习手记 | “环境就是民生”	922	0	0	duplicate of A002
A015	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	中共中央办公厅印发《党组讨论和决定党员处分事项工作程序规定》	1896	0	0	duplicate of A006
A016	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	天天学习丨中南海月刊（2025.05）	3090	0	0	duplicate of A008
A017	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	多地升级信用修复服务 助力经营主体重塑良好信用	1860	0	0	duplicate of A010
B004	BLOCKED	科技数码	https://www.36kr.com/feed	氪星晚报｜Kimi估值升至315亿美元，ARR突破3亿美元；优艾智合具身智能系列新品全球首发，3年赋能10000个工业现场；国家航天局：我国将建立近地小行星天地协同监测体系	1989	0	0	duplicate of B001
B005	BLOCKED	科技数码	https://www.36kr.com/feed	科氪 | 小尺寸大满足！全球首款水冷RGB平板发布，185HzOLED屏幕+PC模拟器平板秒变台式主机	3181	0	0	duplicate of B002
B006	BLOCKED	科技数码	https://www.36kr.com/feed	成立9个月，在手订单4.4亿，「谱星航天」连续完成两轮数亿元融资｜36氪首发	5564	0	0	duplicate of B003
B007	DONE	科技数码	https://www.36kr.com/feed	万亿市场格局未定：「端侧原生」，一家中国AI公司给物理AI抛了个新解法	4140	2377	2377	
B008	DONE	科技数码	https://www.36kr.com/feed	36氪首发｜前百度自动驾驶与机器人实验室主任创业，天使轮融资数千万，做机器人"世界通行模型"	2594	1389	1389	
C003	BLOCKED	财经金融	http://www.people.com.cn/rss/finance.xml	我国认证认可检验检测行业发展质量实现整体提升	1023	0	0	duplicate of C001
C004	BLOCKED	财经金融	http://www.people.com.cn/rss/finance.xml	防范自动驾驶技术风险 筑牢公共安全防护屏障	2951	0	0	duplicate of C002
C005	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	处置非法集资部际联席会议发布《关于加强防范非法集资宣传教育工作的意见》	1068	571	571	
C006	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释	3022	1650	1650	
C007	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	防范非法金融活动的指南请您查收	1139	606	606	
E004	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	为了患者的一个心愿	853	0	0	duplicate of E001
E005	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	产后如何管理体重（服务窗）	869	0	0	duplicate of E002
E006	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	银发旅游，如何适老又悦老？（深阅读·文旅新观察）	2259	0	0	duplicate of E003
E007	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	今天，消费升级能改变什么（中国消费向新而行）	1437	774	774	
E008	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	东南亚水果从这里"抢鲜"上市（身边的经济故事）	905	467	467	
F004	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	新潮副刊丨读《扬子江文萃》	3811	0	0	duplicate of F001
F005	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	从“物质”与“非物质”的辩证关系里看子弹库帛书的回归意义	1556	0	0	duplicate of F002
F006	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	世界读书日｜劳罕：读书，样子原本很美	6422	0	0	duplicate of F003
F007	DONE	文化艺术	http://www.people.com.cn/rss/culture.xml	走进中国首家讲"水"故事的主题公园	2950	1618	1618	
F008	DONE	文化艺术	http://www.people.com.cn/rss/culture.xml	纹样中的祥瑞中国年	1687	911	911	
G004	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	主教练张晓欢：我们是亲历者 也是幸运者	2332	0	0	duplicate of G001
G005	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	郑钦文遗憾结束12连胜	909	0	0	duplicate of G002
G006	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	2019中国攀岩联赛（广州增城）开赛	1081	0	0	duplicate of G003
G007	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	2019中国攀岩联赛江苏淮安站开赛	1345	654	654	
G008	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	中国铁人三项运动迈入发展快车道	1389	699	699	
H004	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	2019“穿越海螺沟·飞夺泸定桥”越野赛带你重走红军革命路	1852	0	0	duplicate of H001
H005	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	“一带一路”人文历史摄影展在京启动	2347	0	0	duplicate of H002
H006	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	“盛世风华”：上海市文史研究馆馆员书画艺术作品展今天开幕！	985	0	0	duplicate of H003
H007	DONE	历史人文	http://www.people.com.cn/rss/history.xml	天赐"粮"机 延寿香米	1367	707	707	
H008	DONE	历史人文	http://www.people.com.cn/rss/history.xml	【见新见绿·悠然阳城】第四届中国阳城国际徒步大会盛大举行	945	489	489	
I004	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	陈凯歌在《道士下山》新闻发布会上推介仙都景区	1007	0	0	duplicate of I001
I005	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	高清：四川14岁女孩钢笔素描展示家乡美 令人惊叹	833	0	0	too short after nav strip (606<800)	
I006	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	河北野三坡景区建起287栋别墅 国有资产被转卖	1299	0	0	duplicate of I003
I007	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	仙游文脉的话头	11003	0	0	too big for single batch (defer until segmented processing)	
I008	DONE	旅游地理	http://www.people.com.cn/rss/travel.xml	云上年货妙（云中漫笔）	1020	542	542	
J004	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法严厉打击破坏生态环境犯罪	1604	0	0	duplicate of J001
J005	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	永定河畔，甜蜜升级	4023	0	0	duplicate of J002
J006	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	完善协作机制 推进绿色发展	1009	0	0	duplicate of J003
J007	DONE	社会民生	http://www.people.com.cn/rss/society.xml	山东宁津：健身器材产业智能化转型	809	415	415	
J008	DONE	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法公开通缉台湾"资通电军"重要犯罪嫌疑人	1090	561	561	
A018	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	镜观·足迹｜呵护千山万水 擘画永续发展	1471	0	0	duplicate of A001
A019	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	学习手记 | “环境就是民生”	922	0	0	duplicate of A002
A020	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	中共中央办公厅印发《党组讨论和决定党员处分事项工作程序规定》	1896	0	0	duplicate of A006
B009	BLOCKED	科技数码	https://www.36kr.com/feed	氪星晚报｜Kimi估值升至315亿美元，ARR突破3亿美元；优艾智合具身智能系列新品全球首发，3年赋能10000个工业现场；国家航天局：我国将建立近地小行星天地协同监测体系	1989	0	0	duplicate of B001
B010	BLOCKED	科技数码	https://www.36kr.com/feed	科氪 | 小尺寸大满足！全球首款水冷RGB平板发布，185HzOLED屏幕+PC模拟器平板秒变台式主机	3181	0	0	duplicate of B002
B011	BLOCKED	科技数码	https://www.36kr.com/feed	成立9个月，在手订单4.4亿，「谱星航天」连续完成两轮数亿元融资｜36氪首发	5563	0	0	duplicate of B003
C008	BLOCKED	财经金融	http://www.people.com.cn/rss/finance.xml	我国认证认可检验检测行业发展质量实现整体提升	1023	0	0	duplicate of C001
C009	BLOCKED	财经金融	http://www.people.com.cn/rss/finance.xml	防范自动驾驶技术风险 筑牢公共安全防护屏障	2951	0	0	duplicate of C002
C010	BLOCKED	财经金融	http://www.people.com.cn/rss/finance.xml	处置非法集资部际联席会议发布《关于加强防范非法集资宣传教育工作的意见》	1068	0	0	duplicate of C005
E009	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	为了患者的一个心愿	853	0	0	duplicate of E001
E010	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	产后如何管理体重（服务窗）	869	0	0	duplicate of E002
E011	BLOCKED	医疗健康	http://www.people.com.cn/rss/health.xml	银发旅游，如何适老又悦老？（深阅读·文旅新观察）	2259	0	0	duplicate of E003
F009	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	新潮副刊丨读《扬子江文萃》	3811	0	0	duplicate of F001
F010	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	从“物质”与“非物质”的辩证关系里看子弹库帛书的回归意义	1556	0	0	duplicate of F002
F011	BLOCKED	文化艺术	http://www.people.com.cn/rss/culture.xml	世界读书日｜劳罕：读书，样子原本很美	6422	0	0	duplicate of F003
G009	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	主教练张晓欢：我们是亲历者 也是幸运者	2332	0	0	duplicate of G001
G010	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	郑钦文遗憾结束12连胜	909	0	0	duplicate of G002
G011	BLOCKED	体育竞技	http://www.people.com.cn/rss/sports.xml	2019中国攀岩联赛（广州增城）开赛	1081	0	0	duplicate of G003
H009	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	2019“穿越海螺沟·飞夺泸定桥”越野赛带你重走红军革命路	1852	0	0	duplicate of H001
H010	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	“一带一路”人文历史摄影展在京启动	2347	0	0	duplicate of H002
H011	BLOCKED	历史人文	http://www.people.com.cn/rss/history.xml	“盛世风华”：上海市文史研究馆馆员书画艺术作品展今天开幕！	985	0	0	duplicate of H003
I009	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	陈凯歌在《道士下山》新闻发布会上推介仙都景区	1007	0	0	duplicate of I001
I010	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	高清：四川14岁女孩钢笔素描展示家乡美 令人惊叹	833	0	0	duplicate of I002
I011	BLOCKED	旅游地理	http://www.people.com.cn/rss/travel.xml	河北野三坡景区建起287栋别墅 国有资产被转卖	1299	0	0	duplicate of I003
J009	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法严厉打击破坏生态环境犯罪	1604	0	0	duplicate of J001
J010	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	永定河畔，甜蜜升级	4023	0	0	duplicate of J002
J011	BLOCKED	社会民生	http://www.people.com.cn/rss/society.xml	完善协作机制 推进绿色发展	1009	0	0	duplicate of J003
A021	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	镜观·足迹｜呵护千山万水 擘画永续发展	1471	0	0	duplicate of A001
A022	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	学习手记 | “环境就是民生”	922	0	0	duplicate of A002
A023	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	中共中央办公厅印发《党组讨论和决定党员处分事项工作程序规定》	1896	0	0	duplicate of A006
A024	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	天天学习丨中南海月刊（2025.05）	3090	0	0	duplicate of A008
A025	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	多地升级信用修复服务 助力经营主体重塑良好信用	1860	0	0	duplicate of A010
A026	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	聚力为民解难题办实事	1004	513	513	
A027	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	“阿大葱油饼”焕新记（干部状态新观察·走进一线探作风）	2233	1172	1172	
A028	BLOCKED	政治政策	http://www.people.com.cn/rss/politics.xml	银发旅游，如何适老又悦老？（深阅读·文旅新观察）	2259	0	0	duplicate of E003
A029	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	习近平总书记关切事｜我们的名字叫“长江”——三个沿江村庄的变迁故事	2619	1349	1349	
A030	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	【新思想引领新征程】高水平开放提速加力 与世界共享发展机遇	897	468	468	
A031	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	镜观·足迹｜呵护千山万水 擘画永续发展	1471	718	718	
A032	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	学习手记 | “环境就是民生”	922	469	469	
A033	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	中共中央办公厅印发《党组讨论和决定党员处分事项工作程序规定》	1896	953	953	
A034	FETCHED	政治政策	http://www.people.com.cn/rss/politics.xml	天天学习丨中南海月刊（2025.05）	3090	0	0	
A035	DONE	政治政策	http://www.people.com.cn/rss/politics.xml	多地升级信用修复服务 助力经营主体重塑良好信用	1860	937	937	
B012	DONE	科技数码	https://www.36kr.com/feed	氪星晚报｜Kimi估值升至315亿美元，ARR突破3亿美元；优艾智合具身智能系列新品全球首发，3年赋能10000个工业现场；国家航天局：我国将建立近地小行星天地协同监测体系	1989	1029	1029	
B013	FETCHED	科技数码	https://www.36kr.com/feed	科氪 | 小尺寸大满足！全球首款水冷RGB平板发布，185HzOLED屏幕+PC模拟器平板秒变台式主机	3180	0	0	
B014	FETCHED	科技数码	https://www.36kr.com/feed	成立9个月，在手订单4.4亿，「谱星航天」连续完成两轮数亿元融资｜36氪首发	5564	0	0	
B015	FETCHED	科技数码	https://www.36kr.com/feed	万亿市场格局未定：「端侧原生」，一家中国AI公司给物理AI抛了个新解法	4140	0	0	
B016	FETCHED	科技数码	https://www.36kr.com/feed	36氪首发｜前百度自动驾驶与机器人实验室主任创业，天使轮融资数千万，做机器人“世界通行模型”	2594	0	0	
C011	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	我国认证认可检验检测行业发展质量实现整体提升	1023	547	547	
C012	FETCHED	财经金融	http://www.people.com.cn/rss/finance.xml	防范自动驾驶技术风险 筑牢公共安全防护屏障	2951	0	0	
C013	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	处置非法集资部际联席会议发布《关于加强防范非法集资宣传教育工作的意见》	1068	563	563	
C014	FETCHED	财经金融	http://www.people.com.cn/rss/finance.xml	最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释	3022	0	0	
C015	DONE	财经金融	http://www.people.com.cn/rss/finance.xml	防范非法金融活动的指南请您查收	1139	604	604	
E012	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	为了患者的一个心愿	853	458	458	
E013	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	产后如何管理体重（服务窗）	869	471	471	
E014	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	银发旅游，如何适老又悦老？（深阅读·文旅新观察）	2259	1148	1148	
E015	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	今天，消费升级能改变什么（中国消费向新而行）	1437	748	748	
E016	DONE	医疗健康	http://www.people.com.cn/rss/health.xml	东南亚水果从这里“抢鲜”上市（身边的经济故事）	905	464	464	
F012	FETCHED	文化艺术	http://www.people.com.cn/rss/culture.xml	新潮副刊丨读《扬子江文萃》	3811	0	0	
F013	DONE	文化艺术	http://www.people.com.cn/rss/culture.xml	从“物质”与“非物质”的辩证关系里看子弹库帛书的回归意义	1556	848	848	
F014	FETCHED	文化艺术	http://www.people.com.cn/rss/culture.xml	世界读书日｜劳罕：读书，样子原本很美	6422	0	0	
F015	FETCHED	文化艺术	http://www.people.com.cn/rss/culture.xml	走进中国首家讲“水”故事的主题公园	2950	0	0	
F016	DONE	文化艺术	http://www.people.com.cn/rss/culture.xml	纹样中的祥瑞中国年	1687	876	876	
G012	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	主教练张晓欢：我们是亲历者 也是幸运者	2332	1266	1266	
G013	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	郑钦文遗憾结束12连胜	909	454	454	
G014	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	2019中国攀岩联赛（广州增城）开赛	1081	532	532	
G015	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	2019中国攀岩联赛江苏淮安站开赛	1345	627	627	
G016	DONE	体育竞技	http://www.people.com.cn/rss/sports.xml	中国铁人三项运动迈入发展快车道	1389	688	688	
H012	DONE	历史人文	http://www.people.com.cn/rss/history.xml	2019“穿越海螺沟·飞夺泸定桥”越野赛带你重走红军革命路	1852	945	945	
H013	DONE	历史人文	http://www.people.com.cn/rss/history.xml	“一带一路”人文历史摄影展在京启动	2347	1182	1182	
H014	DONE	历史人文	http://www.people.com.cn/rss/history.xml	“盛世风华”：上海市文史研究馆馆员书画艺术作品展今天开幕！	985	502	502	
H015	DONE	历史人文	http://www.people.com.cn/rss/history.xml	天赐“粮”机 延寿香米	1367	700	700	
H016	DONE	历史人文	http://www.people.com.cn/rss/history.xml	【见新见绿·悠然阳城】第四届中国阳城国际徒步大会盛大举行	945	470	470	
I012	DONE	旅游地理	http://www.people.com.cn/rss/travel.xml	陈凯歌在《道士下山》新闻发布会上推介仙都景区	1007	515	515	
I013	DONE	旅游地理	http://www.people.com.cn/rss/travel.xml	高清：四川14岁女孩钢笔素描展示家乡美 令人惊叹	833	462	462	
I014	DONE	旅游地理	http://www.people.com.cn/rss/travel.xml	河北野三坡景区建起287栋别墅 国有资产被转卖	1299	689	689	
I015	FETCHED	旅游地理	http://www.people.com.cn/rss/travel.xml	仙游文脉的话头	11003	0	0	
I016	DONE	旅游地理	http://www.people.com.cn/rss/travel.xml	云上年货妙（云中漫笔）	1020	531	531	
J012	DONE	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法严厉打击破坏生态环境犯罪	1604	773	773	
J013	FETCHED	社会民生	http://www.people.com.cn/rss/society.xml	永定河畔，甜蜜升级	4023	0	0	
J014	DONE	社会民生	http://www.people.com.cn/rss/society.xml	完善协作机制 推进绿色发展	1009	515	515	
J015	DONE	社会民生	http://www.people.com.cn/rss/society.xml	山东宁津：健身器材产业智能化转型	809	391	391	
J016	DONE	社会民生	http://www.people.com.cn/rss/society.xml	公安机关依法公开通缉台湾“资通电军”重要犯罪嫌疑人	1090	552	552	
